StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q11,Q13,Q1,Q2,Q3,Q4,Q6,Q8,,,,,,,,,
11/23/2017 13:34,11/23/2017 13:38,0,*******,100,238,1,11/23/2017 13:38,R_3lSQbQxBlMrqfyT,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,0,0,,,,,,,,,
11/23/2017 13:37,11/23/2017 13:39,0,*******,100,101,1,11/23/2017 13:39,R_2COBoA1pvJhdSUz,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,1,1,,,,,,,,,
11/23/2017 13:46,11/23/2017 13:46,0,*******,100,46,1,11/23/2017 13:46,R_3jcvUIomsyCfu85,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,1,1,,,,,,,,,
11/23/2017 13:46,11/23/2017 13:47,0,*******,100,58,1,11/23/2017 13:47,R_2rO9A9KaJMIMxiF,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,0,0,,,,,,,,,
11/23/2017 13:45,11/23/2017 13:47,0,*******,100,100,1,11/23/2017 13:47,R_1FlJ3iCH1CvzMc9,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,1,0,,,,,,,,,
11/23/2017 13:47,11/23/2017 13:47,0,*******,100,26,1,11/23/2017 13:47,R_DktvINi6VRipu3D,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,1,1,,,,,,,,,
11/23/2017 13:47,11/23/2017 13:47,0,*******,100,39,1,11/23/2017 13:47,R_1I9Q4nuwvXrsBnX,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,0,0,,,,,,,,,
11/23/2017 13:49,11/23/2017 13:50,0,*******,100,45,1,11/23/2017 13:50,R_1DqWB3I5T1mVYDR,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,1,0,,,,,,,,,
11/23/2017 13:59,11/23/2017 13:59,0,*******,100,40,1,11/23/2017 13:59,R_exO8WxgBRRZd8rv,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,0,0,,,,,,,,,
11/23/2017 13:59,11/23/2017 14:00,0,*******,100,49,1,11/23/2017 14:00,R_1Edoz6ivt3PPkES,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,1,1,,,,,,,,,
11/23/2017 13:58,11/23/2017 14:00,0,*******,100,73,1,11/23/2017 14:00,R_1pxQxrRKXuz7lSg,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,1,1,,,,,,,,,,,,,
11/23/2017 13:58,11/23/2017 14:00,0,*******,100,71,1,11/23/2017 14:00,R_21568MGlZD07qQ2,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,1,0,,,,,,,,,
11/23/2017 13:58,11/23/2017 14:00,0,*******,100,96,1,11/23/2017 14:00,R_schHNKj2aYNmQBH,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,1,0,,,,,,,,,
11/23/2017 14:01,11/23/2017 14:02,0,*******,100,68,1,11/23/2017 14:02,R_1OZa0zzW9MLeu6U,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,1,1,,,,,,,,,,,
11/23/2017 14:03,11/23/2017 14:04,0,*******,100,98,1,11/23/2017 14:04,R_2xQV2deM3K9Bisp,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,0,1,,,,,,,,,,,,,
11/23/2017 14:04,11/23/2017 14:05,0,*******,100,84,1,11/23/2017 14:05,R_4UAakiSrPhSwevn,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,1,1,,,,,,,,,,,
11/23/2017 14:06,11/23/2017 14:07,0,*******,100,42,1,11/23/2017 14:07,R_2wtSjGRGkmKWxKC,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,1,1,,,,,,,,,,,
11/23/2017 14:11,11/23/2017 14:12,0,*******,100,28,1,11/23/2017 14:12,R_1hXcru3QrcpXdvt,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,1,1,,,,,,,,,,,,,
11/23/2017 14:12,11/23/2017 14:12,0,*******,100,40,1,11/23/2017 14:12,R_2tg1PwKUJLLxUcL,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,0,0,,,,,,,,,
11/23/2017 14:12,11/23/2017 14:14,0,*******,100,97,1,11/23/2017 14:14,R_BVr1r077tJBGpfH,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,0,0,,,,,,,,,
11/23/2017 14:13,11/23/2017 14:14,0,*******,100,34,1,11/23/2017 14:14,R_1lrZmLfsKTsgDJD,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,1,1,,,,,,,,,,,
11/23/2017 14:12,11/23/2017 14:15,0,*******,100,161,1,11/23/2017 14:15,R_2SiDMHG1G0gvCrS,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,0,1,,,,,,,,,,,,,
11/23/2017 14:14,11/23/2017 14:15,0,*******,100,95,1,11/23/2017 14:15,R_306MZ3bLgXliFi4,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,1,0,,,,,,,,,
11/23/2017 14:17,11/23/2017 14:18,0,*******,100,55,1,11/23/2017 14:18,R_0qxD3cWX56tPvLX,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,1,1,,,,,,,,,,,
11/23/2017 14:18,11/23/2017 14:21,0,*******,100,138,1,11/23/2017 14:21,R_1gOsM8HH7VOrgHZ,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,0,0,,,,,,,,,
11/23/2017 14:25,11/23/2017 14:26,0,*******,100,53,1,11/23/2017 14:26,R_2Pj3Lrf6iv449Ly,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,1,1,,,,,,,,,,,,,
11/23/2017 14:25,11/23/2017 14:26,0,*******,100,43,1,11/23/2017 14:26,R_1mWrtXjkkgMtmcF,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,1,1,,,,,,,,,,,
11/23/2017 14:25,11/23/2017 14:27,0,*******,100,93,1,11/23/2017 14:27,R_1NzB7hv9veQWCDQ,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,1,0,,,,,,,,,
11/23/2017 14:25,11/23/2017 14:27,0,*******,100,82,1,11/23/2017 14:27,R_2xYoYs4V24LRnbe,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,0,1,,,,,,,,,,,
11/23/2017 14:26,11/23/2017 14:27,0,*******,100,78,1,11/23/2017 14:27,R_3NWhlJCQmrqpH4m,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,0,1,,,,,,,,,,,,,
11/23/2017 14:27,11/23/2017 14:27,0,*******,100,41,1,11/23/2017 14:27,R_2dngVznJNkZe2vK,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,1,1,,,,,,,,,,,,,
11/23/2017 14:28,11/23/2017 14:28,0,*******,100,24,1,11/23/2017 14:28,R_4PjtwB8T5L3ZRrv,*******,*******,*******,*******,*******,*******,anonymous,,,I have read the instructions,,,0,1,,,,,,,,,,,
11/23/2017 14:28,11/23/2017 14:29,0,*******,100,24,1,11/23/2017 14:29,R_6Gc3RaG55TBUQNP,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,0,1,,,,,,,,,
11/23/2017 14:29,11/23/2017 14:29,0,*******,100,28,1,11/23/2017 14:29,R_1Le60j0vrpzl5uC,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,0,1,,,,,,,,,,,,,
11/23/2017 14:37,11/23/2017 14:37,0,*******,100,35,1,11/23/2017 14:37,R_10CLXzjrRiWftR2,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,1,0,,,,,,,,,
11/23/2017 14:36,11/23/2017 14:38,0,*******,100,94,1,11/23/2017 14:38,R_2tlJjKCtsJXgVw7,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,1,1,,,,,,,,,,,
11/23/2017 14:39,11/23/2017 14:40,0,*******,100,28,1,11/23/2017 14:40,R_2rxxBHKpCnaWDFn,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,1,1,,,,,,,,,,,
11/23/2017 14:40,11/23/2017 14:42,0,*******,100,84,1,11/23/2017 14:42,R_wYp5it5Hg0htY77,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,0,1,,,,,,,,,,,,,
11/23/2017 14:41,11/23/2017 14:42,0,*******,100,83,1,11/23/2017 14:42,R_xf7f6LCyC5EJFMl,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,1,1,,,,,,,,,,,
11/23/2017 14:41,11/23/2017 14:43,0,*******,100,81,1,11/23/2017 14:43,R_3NFnnd70HamQvP8,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,1,1,,,,,,,,,,,,,
11/23/2017 14:41,11/23/2017 14:46,0,*******,100,269,1,11/23/2017 14:46,R_3O8424fyDmkJcKI,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,1,1,,,,,,,,,
11/23/2017 14:49,11/23/2017 14:50,0,*******,100,21,1,11/23/2017 14:50,R_3iW287iyCl04g0d,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,1,0,,,,,,,,,
11/23/2017 14:50,11/23/2017 14:50,0,*******,100,31,1,11/23/2017 14:50,R_31MzrUZJTJCOMpy,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,1,1,,,,,,,,,,,
11/23/2017 14:51,11/23/2017 14:52,0,*******,100,64,1,11/23/2017 14:52,R_2P6WMSv4nSZpWA2,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,1,1,,,,,,,,,,,
11/23/2017 14:51,11/23/2017 14:52,0,*******,100,31,1,11/23/2017 14:52,R_W7izHsXCBcRfamZ,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,0,0,,,,,,,,,
11/23/2017 14:51,11/23/2017 14:52,0,*******,100,58,1,11/23/2017 14:52,R_1g15F8tYqvv7jM3,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,1,1,,,,,,,,,,,,,
11/23/2017 14:53,11/23/2017 14:54,0,*******,100,58,1,11/23/2017 14:54,R_27O3qc5FnK58phc,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,0,1,,,,,,,,,,,
11/23/2017 14:52,11/23/2017 14:54,0,*******,100,83,1,11/23/2017 14:54,R_1nOqXTWiMmzIh3o,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,0,1,,,,,,,,,,,,,
11/23/2017 14:52,11/23/2017 14:54,0,*******,100,97,1,11/23/2017 14:54,R_2fm17gKrXgPH5HR,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,1,1,,,,,,,,,,,,,
11/23/2017 14:56,11/23/2017 14:56,0,*******,100,50,1,11/23/2017 14:56,R_3sjLosu3EB3SUSc,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,1,1,,,,,,,,,
11/23/2017 15:02,11/23/2017 15:03,0,*******,100,59,1,11/23/2017 15:03,R_26hzU4Qqs8eToXH,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,1,1,,,,,,,,,,,
11/23/2017 15:02,11/23/2017 15:04,0,*******,100,85,1,11/23/2017 15:04,R_33x2EqfmeY01eY3,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,1,1,,,,,,,,,
11/23/2017 15:04,11/23/2017 15:05,0,*******,100,44,1,11/23/2017 15:05,R_3JhnJFVpDEUQP08,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,1,1,,,,,,,,,,,
11/23/2017 15:04,11/23/2017 15:05,0,*******,100,95,1,11/23/2017 15:05,R_1igHcJkaqOAbPZG,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,1,1,,,,,,,,,,,
11/23/2017 15:05,11/23/2017 15:06,0,*******,100,66,1,11/23/2017 15:06,R_1LiFIYq0R15XCnh,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,1,1,,,,,,,,,
11/23/2017 15:05,11/23/2017 15:06,0,*******,100,109,1,11/23/2017 15:06,R_10PDUI1ttAXqjD6,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,1,1,,,,,,,,,
11/23/2017 15:05,11/23/2017 15:07,0,*******,100,119,1,11/23/2017 15:07,R_1eIY4goKzCnT9iM,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,0,1,,,,,,,,,,,,,
11/23/2017 15:15,11/23/2017 15:15,0,*******,100,23,1,11/23/2017 15:15,R_6PQnkqyrjljRPP3,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,1,1,,,,,,,,,,,
11/23/2017 15:16,11/23/2017 15:17,0,*******,100,33,1,11/23/2017 15:17,R_svDWc8Ztc3oGByN,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,1,1,,,,,,,,,,,,,
11/23/2017 15:16,11/23/2017 15:17,0,*******,100,63,1,11/23/2017 15:17,R_3PCcDMpetIlOPQp,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,1,1,,,,,,,,,,,,,
11/23/2017 15:16,11/23/2017 15:18,0,*******,100,135,1,11/23/2017 15:18,R_1i3AVJ6CC5mRzih,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,0,0,,,,,,,,,
11/23/2017 15:18,11/23/2017 15:19,0,*******,100,86,1,11/23/2017 15:19,R_2bK92kH6EnUclkB,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,1,1,,,,,,,,,,,,,
11/23/2017 15:19,11/23/2017 15:20,0,*******,100,107,1,11/23/2017 15:20,R_2Pe31Jaf2qbSfep,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,0,0,,,,,,,,,
11/23/2017 15:17,11/23/2017 15:20,0,*******,100,219,1,11/23/2017 15:20,R_28FIgLQf44OZrKR,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,1,1,,,,,,,,,,,
11/23/2017 15:22,11/23/2017 15:22,0,*******,100,30,1,11/23/2017 15:22,R_1rNw1DenikyuNcB,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,1,1,,,,,,,,,,,
11/23/2017 15:29,11/23/2017 15:30,0,*******,100,70,1,11/23/2017 15:30,R_037H5tKBSYqKcTv,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,1,1,,,,,,,,,
11/23/2017 15:29,11/23/2017 15:31,0,*******,100,79,1,11/23/2017 15:31,R_6n7E6reSc9TuHGp,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,1,1,,,,,,,,,,,,,
11/23/2017 15:30,11/23/2017 15:31,0,*******,100,85,1,11/23/2017 15:31,R_3EKbjtBDKd2aUWi,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,0,1,,,,,,,,,,,
11/23/2017 15:31,11/23/2017 15:33,0,*******,100,116,1,11/23/2017 15:33,R_1ItObCs75KmNj8q,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,0,0,,,,,,,,,
11/23/2017 15:33,11/23/2017 15:35,0,*******,100,102,1,11/23/2017 15:35,R_A7KkCbfSbPZuR0Z,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,1,1,,,,,,,,,,,,,
11/23/2017 15:34,11/23/2017 15:36,0,*******,100,137,1,11/23/2017 15:36,R_b7oqcixVxAwLUjf,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,1,0,,,,,,,,,
11/23/2017 15:35,11/23/2017 15:36,0,*******,100,58,1,11/23/2017 15:36,R_54KoAHbJcjB9AaJ,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,1,1,,,,,,,,,,,,,
11/23/2017 15:42,11/23/2017 15:42,0,*******,100,54,1,11/23/2017 15:43,R_1BXe1DF6G8MWqMY,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,1,1,,,,,,,,,,,,,
11/23/2017 15:44,11/23/2017 15:45,0,*******,100,74,1,11/23/2017 15:45,R_3FRNKc50UCZpQwJ,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,1,0,,,,,,,,,
11/23/2017 15:46,11/23/2017 15:46,0,*******,100,37,1,11/23/2017 15:46,R_1JXwcXFAYd23SUc,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,1,1,,,,,,,,,,,,,
11/23/2017 15:45,11/23/2017 15:46,0,*******,100,69,1,11/23/2017 15:46,R_3CTlEaDYsxslNba,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,0,1,,,,,,,,,,,,,
11/23/2017 15:45,11/23/2017 15:47,0,*******,100,125,1,11/23/2017 15:47,R_1f8I3LMA0BVZvJn,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,1,1,,,,,,,,,,,
11/23/2017 15:45,11/23/2017 15:48,0,*******,100,181,1,11/23/2017 15:48,R_8caMAJIVMUqyIDv,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,1,0,,,,,,,,,
11/23/2017 15:47,11/23/2017 15:48,0,*******,100,54,1,11/23/2017 15:48,R_2frBUTkuaUcHmjP,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,1,1,,,,,,,,,,,
11/23/2017 15:46,11/23/2017 15:49,0,*******,100,134,1,11/23/2017 15:49,R_eRrLSqxFY4sTWP7,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,1,1,,,,,,,,,
11/23/2017 15:53,11/23/2017 15:54,0,*******,100,69,1,11/23/2017 15:54,R_3lY07lEcRPwbijU,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,0,0,,,,,,,,,
11/23/2017 15:54,11/23/2017 15:55,0,*******,100,64,1,11/23/2017 15:55,R_cHfQtwbjKAbuPdv,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,1,1,,,,,,,,,,,,,
11/23/2017 15:55,11/23/2017 15:56,0,*******,100,49,1,11/23/2017 15:56,R_2uxtAXh4XecqHC3,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,1,0,,,,,,,,,,,
11/23/2017 15:56,11/23/2017 15:57,0,*******,100,60,1,11/23/2017 15:57,R_reXxJPEsSysG7qV,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,1,1,,,,,,,,,,,,,
11/23/2017 15:55,11/23/2017 15:58,0,*******,100,146,1,11/23/2017 15:58,R_23w4pFri7ymxhdf,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,0,0,,,,,,,,,
11/23/2017 15:57,11/23/2017 15:58,0,*******,100,63,1,11/23/2017 15:58,R_1C9AK91XSmHtr1x,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,0,1,,,,,,,,,,,
11/23/2017 15:57,11/23/2017 15:59,0,*******,100,114,1,11/23/2017 15:59,R_3Jme4DxiLUcQldD,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,1,1,,,,,,,,,,,,,
11/23/2017 16:01,11/23/2017 16:02,0,*******,100,73,1,11/23/2017 16:02,R_2E0nOXfMQendoA8,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,0,0,,,,,,,,,
11/23/2017 16:06,11/23/2017 16:07,0,*******,100,61,1,11/23/2017 16:07,R_3EYxSwGzy6QgGdm,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,1,0,,,,,,,,,
11/23/2017 16:08,11/23/2017 16:09,0,*******,100,69,1,11/23/2017 16:09,R_3L5VKQr1Kgyux12,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,1,1,,,,,,,,,,,,,
11/23/2017 16:08,11/23/2017 16:09,0,*******,100,108,1,11/23/2017 16:09,R_1cYCVudJPmgFwIg,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,,,0,0,,,,,,,,,
11/22/2017 20:11,11/22/2017 20:12,0,*******,100,20,1,11/22/2017 20:12,R_3HNu4AYQlln11aW,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions ,,,0,1,,,,,,,,,,,
11/23/2017 14:15,11/23/2017 14:17,0,*******,100,140,1,11/23/2017 14:17,R_3Gp8sdQDcpmvuHW,*******,*******,*******,*******,*******,*******,anonymous,EN,,i have read the instructions ,1,1,,,,,,,,,,,,,
11/23/2017 13:47,11/23/2017 13:50,0,*******,100,183,1,11/23/2017 13:50,R_1LkbuOIZxQaw4cR,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions.,,,,,1,0,,,Stats,,,,,,
11/29/2017 12:56,11/29/2017 12:57,0,*******,100,74,1,11/29/2017 12:57,R_2b2BWFPoPFp08mr,*******,*******,*******,*******,*******,*******,anonymous,EN,,I have read the instructions,,,1,1,,,,,odds for the null,,,,,,
,,,,,,,,,,,,,,,,,,,neutral,neutral,good,good,bad,bad,,,moral,why,,,,,
,,,,,,,,,,,,,,,,,,,moral,why,moral,why,moral,why,,good/neut,3.79,14.76,,,,,
,,,,,,,,,,,,,,,,,,average,0.716666667,0.983333333,0.777777778,0.981481481,0.490909091,0.327272727,,,,,,,,,
,,,,,,,,,,,,,,,,,,count,60,60,54,54,55,55,,,Upton's ch-sq,,,,Upton's ch-sq,,
,,,,,,,,,,,,,,,,,,yes,43,59,42,53,27,18,,neut/bad,moral,why,,neut/good,moral,why,
,,,,,,,,,,,,,,,,,,no,17,1,12,1,28,37,,ch-sq,6.09,55.34,n=115,ch-sq,0.55,0.0056,n=114
,,,,,,,,,,,,,,,,,,,,,,,,,,p,0.013,<.0001,,p,0.46,0.95,
,,,,,,,,,,,,,,,,,,,,,,,,,,phi,0.23,0.69,,phi,0.069,0.0071,
